Day(s) since symptom onset,med_syn,iqr_syn_1,iqr_syn_3,min_syn,max_syn,med_nonsyn,iqr_nonsyn_1,iqr_nonsyn_3,min_nonsyn,max_nonsyn,pvalue,med_stop,iqr_stop_1,iqr_stopn_3,min_stop,max_stop
0,1.1014977111362631e-05,9.983296785280194e-06,1.1517320696553384e-05,8.951616459197756e-06,1.2019664281744137e-05,6.77878332854355e-05,5.502511747719671e-05,8.543193256984835e-05,4.2262401668957904e-05,0.0001030760318542612,0.25,0.0,0.0,0.0,0.0,0.0
1,5.810988642760897e-06,5.052764477977419e-06,6.5692128075443755e-06,4.294540313193942e-06,7.327436972327854e-06,4.0924015902026444e-05,3.784392967009882e-05,4.4004102133954066e-05,3.4763843438171206e-05,4.708418836588168e-05,0.5,0.0,0.0,0.0,0.0,0.0
2,1.3830467898842673e-05,6.504522227737118e-06,1.4324618382539111e-05,0.0,3.598134326424734e-05,2.355865587077271e-05,2.129471453389924e-05,2.6390804299302584e-05,1.0848760989157797e-05,4.0510240478977386e-05,0.0625,0.0,0.0,0.0,0.0,1.4956084317652626e-06
3,8.734345123089088e-06,5.847585376330384e-06,1.857239930903011e-05,6.296366971072225e-07,4.157518099141976e-05,1.7266879186884835e-05,9.06690372616898e-06,2.4691797415341218e-05,5.297955183798483e-06,2.713646965464607e-05,0.5625,0.0,0.0,4.461566283408208e-07,0.0,3.919003091548414e-06
4,4.652697849300162e-06,3.2399619987007765e-06,6.9452305719692395e-06,2.904809288630718e-06,1.0120204159989393e-05,1.229550190082278e-05,5.997913312580055e-06,1.876537516513716e-05,1.78593428499045e-06,2.5215673924221382e-05,0.078125,0.0,0.0,1.987696464683068e-07,0.0,1.5980853057936232e-06
5,4.307884897031401e-06,2.8707224704015714e-06,5.745047323661229e-06,1.4335600437717424e-06,7.182209750291059e-06,1.873269579776274e-05,1.2801466616068589e-05,2.4663924979456894e-05,6.870237434374438e-06,3.059515416115104e-05,0.5,0.0,0.0,0.0,0.0,0.0
6,7.533582616543342e-06,4.679518924994698e-06,1.0194127348382895e-05,2.382184893701704e-06,1.1910904500548619e-05,1.0009250505377425e-05,8.17446114043347e-06,1.216141161338357e-05,7.032428629231306e-06,1.4255559353772302e-05,0.625,2.1755447020047645e-07,0.0,4.837413551565951e-07,0.0,6.296385994235218e-07
7,2.5446845619716562e-06,2.5446845619716562e-06,2.5446845619716562e-06,2.5446845619716562e-06,2.5446845619716562e-06,6.3375353785950424e-06,6.3375353785950424e-06,6.3375353785950424e-06,6.3375353785950424e-06,6.3375353785950424e-06,1.0,2.66237988007576e-07,2.66237988007576e-07,2.66237988007576e-07,2.66237988007576e-07,2.66237988007576e-07
8,1.5311309174030448e-06,1.5311309174030448e-06,1.5311309174030448e-06,1.5311309174030448e-06,1.5311309174030448e-06,6.552880008705055e-06,6.552880008705055e-06,6.552880008705055e-06,6.552880008705055e-06,6.552880008705055e-06,1.0,0.0,0.0,0.0,0.0,0.0
9,5.028115606746085e-07,5.028115606746085e-07,5.028115606746085e-07,5.028115606746085e-07,5.028115606746085e-07,2.5819534897595516e-06,2.5819534897595516e-06,2.5819534897595516e-06,2.5819534897595516e-06,2.5819534897595516e-06,1.0,0.0,0.0,0.0,0.0,0.0
10,4.621041354022418e-06,4.1079109366178055e-06,5.13417177142703e-06,3.594780519213194e-06,5.6473021888316415e-06,1.0041877699358333e-05,8.107587215685022e-06,1.1976168183031644e-05,6.1732967320117105e-06,1.3910458666704957e-05,0.5,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,1.0730299016815563e-06,1.0730299016815563e-06,1.0730299016815563e-06,1.0730299016815563e-06,1.0730299016815563e-06,1.0,0.0,0.0,0.0,0.0,0.0
